date,country_code,country,sector,pay_transparency_pct,pay_transparency_pct_3ma
2020-01-01,US,United States,Accounting,13.842790420351783,NA
2020-01-01,US,United States,Administrative Assistance,21.322190005116834,NA
2020-01-01,US,United States,Architecture,13.52624901830484,NA
2020-01-01,US,United States,Arts & Entertainment,12.744631585625019,NA
2020-01-01,US,United States,Aviation,17.789446721311474,NA
2020-01-01,US,United States,Banking & Finance,6.00690994824953,NA
2020-01-01,US,United States,Childcare,40.56164172195649,NA
2020-01-01,US,United States,Civil Engineering,11.342640114966127,NA
2020-01-01,US,United States,Cleaning & Sanitation,25.459842672623097,NA
2020-01-01,US,United States,Community & Social Service,24.597214913168443,NA
2020-01-01,US,United States,Construction,31.67175360710322,NA
2020-01-01,US,United States,Customer Service,14.282267535720749,NA
2020-01-01,US,United States,Data & Analytics,4.808208875040292,NA
2020-01-01,US,United States,Dental,25.252604575676667,NA
2020-01-01,US,United States,Driving,26.014717741150072,NA
2020-01-01,US,United States,Education & Instruction,21.115061653680307,NA
2020-01-01,US,United States,Electrical Engineering,7.529710605098431,NA
2020-01-01,US,United States,Food Preparation & Service,10.141449826381258,NA
2020-01-01,US,United States,Hospitality & Tourism,13.357021319187268,NA
2020-01-01,US,United States,Human Resources,14.134733207084771,NA
2020-01-01,US,United States,"IT Infrastructure, Operations & Support",12.199807877041307,NA
2020-01-01,US,United States,IT Systems & Solutions,7.55210231947757,NA
2020-01-01,US,United States,Industrial Engineering,4.008274057031893,NA
2020-01-01,US,United States,Installation & Maintenance,19.666113009532072,NA
2020-01-01,US,United States,Insurance,20.055407490531632,NA
2020-01-01,US,United States,Legal,16.239656621974426,NA
2020-01-01,US,United States,Loading & Stocking,19.65486191854112,NA
2020-01-01,US,United States,Logistic Support,13.551855705861948,NA
2020-01-01,US,United States,Management,6.923554616311903,NA
2020-01-01,US,United States,Marketing,14.110492446716261,NA
2020-01-01,US,United States,Mechanical Engineering,7.171438964818376,NA
2020-01-01,US,United States,Media & Communications,17.015441872612712,NA
2020-01-01,US,United States,Medical Information,10.365379962048369,NA
2020-01-01,US,United States,Medical Technician,7.7412185689757536,NA
2020-01-01,US,United States,Nursing,8.432221856912383,NA
2020-01-01,US,United States,Personal Care & Home Health,22.444906644865767,NA
2020-01-01,US,United States,Pharmacy,6.106833493743984,NA
2020-01-01,US,United States,Physicians & Surgeons,6.915226443998533,NA
2020-01-01,US,United States,Production & Manufacturing,18.779073804068595,NA
2020-01-01,US,United States,Project Management,8.990483255862475,NA
2020-01-01,US,United States,Retail,7.067763960372475,NA
2020-01-01,US,United States,Sales,13.41356060665872,NA
2020-01-01,US,United States,Scientific Research & Development,5.4068574777766925,NA
2020-01-01,US,United States,Security & Public Safety,28.406659492308666,NA
2020-01-01,US,United States,Social Science,19.46475805196826,NA
2020-01-01,US,United States,Software Development,5.7211336006895115,NA
2020-01-01,US,United States,Therapy,16.1748239568041,NA
2020-02-01,US,United States,Accounting,14.170225856530665,NA
2020-02-01,US,United States,Administrative Assistance,22.498766776097572,NA
2020-02-01,US,United States,Architecture,15.138629018540566,NA
2020-02-01,US,United States,Arts & Entertainment,14.629414047341871,NA
2020-02-01,US,United States,Aviation,13.554434030281183,NA
2020-02-01,US,United States,Banking & Finance,7.153001542385047,NA
2020-02-01,US,United States,Childcare,44.81555636451887,NA
2020-02-01,US,United States,Civil Engineering,12.099000953863145,NA
2020-02-01,US,United States,Cleaning & Sanitation,28.06507357208259,NA
2020-02-01,US,United States,Community & Social Service,25.315614617940202,NA
2020-02-01,US,United States,Construction,34.25182101977107,NA
2020-02-01,US,United States,Customer Service,15.478837079215731,NA
2020-02-01,US,United States,Data & Analytics,5.317085214446952,NA
2020-02-01,US,United States,Dental,28.184460887949257,NA
2020-02-01,US,United States,Driving,27.3411581578906,NA
2020-02-01,US,United States,Education & Instruction,22.15782500607859,NA
2020-02-01,US,United States,Electrical Engineering,8.504267774947492,NA
2020-02-01,US,United States,Food Preparation & Service,11.960516659327755,NA
2020-02-01,US,United States,Hospitality & Tourism,15.759559979046623,NA
2020-02-01,US,United States,Human Resources,12.023914968999113,NA
2020-02-01,US,United States,"IT Infrastructure, Operations & Support",12.302525004830056,NA
2020-02-01,US,United States,IT Systems & Solutions,5.688812741925249,NA
2020-02-01,US,United States,Industrial Engineering,4.47795436532766,NA
2020-02-01,US,United States,Installation & Maintenance,21.965846321412826,NA
2020-02-01,US,United States,Insurance,21.89015099044189,NA
2020-02-01,US,United States,Legal,17.061670962469353,NA
2020-02-01,US,United States,Loading & Stocking,19.781418810145603,NA
2020-02-01,US,United States,Logistic Support,14.139567586570575,NA
2020-02-01,US,United States,Management,7.638419089897629,NA
2020-02-01,US,United States,Marketing,15.25298927378231,NA
2020-02-01,US,United States,Mechanical Engineering,8.023683135973867,NA
2020-02-01,US,United States,Media & Communications,19.3641256728001,NA
2020-02-01,US,United States,Medical Information,10.826794630698398,NA
2020-02-01,US,United States,Medical Technician,8.588044846813359,NA
2020-02-01,US,United States,Nursing,9.611709969557143,NA
2020-02-01,US,United States,Personal Care & Home Health,23.746288353678654,NA
2020-02-01,US,United States,Pharmacy,6.418234101730071,NA
2020-02-01,US,United States,Physicians & Surgeons,7.798023471278567,NA
2020-02-01,US,United States,Production & Manufacturing,20.195732584423588,NA
2020-02-01,US,United States,Project Management,9.656734583483592,NA
2020-02-01,US,United States,Retail,7.775913418414426,NA
2020-02-01,US,United States,Sales,14.418432686710403,NA
2020-02-01,US,United States,Scientific Research & Development,5.907723648401317,NA
2020-02-01,US,United States,Security & Public Safety,30.017536659079884,NA
2020-02-01,US,United States,Social Science,21.410775459358454,NA
2020-02-01,US,United States,Software Development,6.316411541457686,NA
2020-02-01,US,United States,Therapy,16.90098949796637,NA
2020-03-01,US,United States,Accounting,13.20134090873322,13.73811906187189
2020-03-01,US,United States,Administrative Assistance,22.250401719164426,22.023786166792945
2020-03-01,US,United States,Architecture,14.788732394366196,14.484536810403867
2020-03-01,US,United States,Arts & Entertainment,16.557047909166435,14.643697847377775
2020-03-01,US,United States,Aviation,12.442396313364055,14.595425688318905
2020-03-01,US,United States,Banking & Finance,7.477736418037035,6.879215969557205
2020-03-01,US,United States,Childcare,44.899595466307076,43.42559785092748
2020-03-01,US,United States,Civil Engineering,11.82573685025551,11.755792639694926
2020-03-01,US,United States,Cleaning & Sanitation,28.448028984155947,27.32431507628721
2020-03-01,US,United States,Community & Social Service,25.779472453671016,25.230767328259887
2020-03-01,US,United States,Construction,36.016919960869146,33.98016486258114
2020-03-01,US,United States,Customer Service,14.017585825515983,14.592896813484154
2020-03-01,US,United States,Data & Analytics,5.463906111603189,5.196400067030145
2020-03-01,US,United States,Dental,28.991111804147824,27.476059089257916
2020-03-01,US,United States,Driving,27.221444661127673,26.85910685338945
2020-03-01,US,United States,Education & Instruction,20.675598779163,21.316161812973963
2020-03-01,US,United States,Electrical Engineering,8.029162746942616,8.021047042329513
2020-03-01,US,United States,Food Preparation & Service,11.535590774512974,11.212519086740663
2020-03-01,US,United States,Hospitality & Tourism,16.540528048991852,15.219036449075247
2020-03-01,US,United States,Human Resources,13.491333142245084,13.21666043944299
2020-03-01,US,United States,"IT Infrastructure, Operations & Support",11.153870220887303,11.885401034252888
2020-03-01,US,United States,IT Systems & Solutions,5.6966702328300265,6.312528431410949
2020-03-01,US,United States,Industrial Engineering,4.6465912036637,4.377606542007751
2020-03-01,US,United States,Installation & Maintenance,23.88852193058694,21.840160420510614
2020-03-01,US,United States,Insurance,23.172538392050587,21.706032291008032
2020-03-01,US,United States,Legal,16.873844136994638,16.725057240479472
2020-03-01,US,United States,Loading & Stocking,21.1502336556702,20.19550479478564
2020-03-01,US,United States,Logistic Support,13.956986012934275,13.882803101788932
2020-03-01,US,United States,Management,7.44141743563058,7.334463713946704
2020-03-01,US,United States,Marketing,14.618037361539304,14.660506360679292
